hospitalid,n,pct_zero,pct_neg,p50,all_zero
56,9900,0.0,0.0,37.0,False
58,8482,0.0,0.0,31.0,False
59,14498,0.0,0.0,36.0,False
60,10703,0.0,0.0,33.0,False
61,5075,0.0,0.0,37.0,False
63,42571,0.0,0.0,32.0,False
66,33962,0.0,0.0,55.0,False
67,15737,0.0,0.0,39.0,False
68,12572,0.0,0.0,27.5,False
69,16705,0.0,0.0,31.0,False
71,32031,0.0,0.0,27.0,False
73,310167,0.0,0.0,46.0,False
79,70327,0.015641218877529256,0.0,27.0,False
83,3024,0.26455026455026454,0.0,29.0,False
84,1784,0.11210762331838565,0.0,133.0,False
85,4584,0.0,0.0,41.0,False
86,285,0.0,0.0,183.0,False
90,573,0.0,0.0,31.0,False
91,675,0.0,0.0,226.0,False
92,18051,0.0,0.0,35.0,False
93,2768,0.0,0.0,225.0,False
94,368,0.2717391304347826,0.0,161.0,False
95,7917,0.025262094227611467,0.0,30.0,False
96,1064,0.0,0.0,25.0,False
102,4396,0.0,0.0,38.0,False
108,14130,0.0,0.0,29.0,False
110,51127,0.003911827410174663,0.0,41.0,False
112,2189,11.923252626770214,0.0,2.0,False
115,613,0.0,0.0,35.0,False
120,706,11.3314447592068,0.0,2.0,False
122,136745,0.34955574244030857,0.0,56.0,False
123,1135,12.246696035242291,0.0,2.0,False
125,3764,1.381509032943677,0.0,45.0,False
131,7629,0.0,0.0,85.0,False
133,1119,13.136729222520108,0.0,2.0,False
135,398,0.0,0.0,29.0,False
138,881,12.031782065834278,0.0,5.0,False
140,27290,10.857456943935508,0.0,37.0,False
141,60367,10.485861480610268,0.0,45.0,False
142,110443,19.103066740309483,0.0,45.0,False
143,26283,15.648898527565347,0.0,53.0,False
144,34804,12.56752097460062,0.0,46.0,False
146,42183,8.868501529051988,0.0,33.0,False
148,104520,0.02870264064293915,0.0,30.0,False
151,163,0.0,0.0,30.0,False
152,64784,30.15405038281057,0.0,32.0,False
154,55269,0.20807324178110698,0.0,35.0,False
155,22286,0.02243560979987436,0.0,39.0,False
156,656,0.0,0.0,29.0,False
157,66081,15.75793344531711,0.0,39.0,False
158,10900,4.678899082568807,0.0,40.0,False
164,5127,0.01950458357714063,0.0,39.0,False
165,101930,15.779456489747867,0.0,37.0,False
167,226788,5.4081344691959,0.0,56.0,False
171,53230,8.081908698102573,0.0,38.0,False
174,3393,0.0,0.0,35.0,False
175,20057,0.009971580994166625,0.0,42.0,False
176,141163,0.6651884700665188,0.0,43.0,False
179,1591,0.0,0.0,29.0,False
180,25730,2.5884181888845705,0.0,40.0,False
181,54314,3.2569871488014144,0.0,48.0,False
182,20315,1.4373615555008614,0.0,51.0,False
183,96635,3.7284627722874735,0.0,51.0,False
184,49499,1.923271177195499,0.0,42.0,False
188,136083,0.0029393825826885063,0.0,52.0,False
194,20332,0.07377532952980523,0.0,55.0,False
195,116677,13.78849301918973,0.0,47.0,False
196,18114,0.0,0.0,38.0,False
197,96263,0.0,0.0,48.0,False
198,87776,16.2550127597521,0.0,32.0,False
199,289540,0.001381501692339573,0.0,40.0,False
200,25160,5.79093799682035,0.0,41.0,False
201,5610,0.0,0.0,52.0,False
202,62502,15.073117660234873,0.0,39.0,False
203,5031,0.0,0.0,41.0,False
204,7793,91.47953291415372,0.0,0.0,True
205,9844,0.0,0.0,49.0,False
206,123783,0.0,0.0,37.0,False
207,13248,0.11322463768115942,0.0,35.0,False
208,134256,0.08714694315337862,0.0,40.0,False
209,3808,0.0,0.0,32.0,False
210,22087,0.0452755014261783,0.0,46.0,False
212,793,1.008827238335435,0.0,36.0,False
215,32604,0.12268433321064899,0.0,40.0,False
217,87223,0.35541084347018564,0.0,46.0,False
220,41152,0.029160186625194404,0.0,31.0,False
224,24648,0.0,0.0,42.0,False
226,71169,23.79968806643342,0.0,38.0,False
227,77285,25.910590670893445,0.0,34.0,False
243,160690,1.06665007156637,0.0,50.0,False
244,44846,0.19622708825759264,0.0,40.0,False
245,18892,0.36523396146517045,0.0,52.0,False
246,4498,0.0,0.0,39.0,False
248,110599,99.96473747502237,0.0,0.0,True
249,11396,100.0,0.0,0.0,True
250,7716,100.0,0.0,0.0,True
251,8757,100.0,0.0,0.0,True
252,207341,99.99131864898885,0.0,0.0,True
253,27962,100.0,0.0,0.0,True
254,26658,94.53447370395378,0.0,0.0,True
256,28434,68.03474713371315,0.0,0.0,True
